"","City","Scenario","Year","PE","Median","Lower","Upper"
"115","Baltimore","Documented",2025,331.059213090918,336.946820775043,246.123602655591,455.982315713861
"116","Baltimore","Documented",2026,315.251123120532,320.537986513174,227.325738915954,436.802993082141
"117","Baltimore","Documented",2027,303.151537431348,307.729447847387,213.053478094085,422.770235675365
"118","Baltimore","Documented",2028,293.83394975699,297.54896036152,201.967878236094,412.030139534172
"119","Baltimore","Documented",2029,286.642647319617,289.059258064187,192.996356168295,404.972656043698
"120","Baltimore","Documented",2030,296.940863673957,298.336860523199,195.32243585662,417.001393009849
"121","Baltimore","Documented",2031,332.595579542065,331.979557194623,217.221192571112,457.153167738325
"122","Baltimore","Documented",2032,367.292973651956,364.038943018202,240.031167806376,494.327883810904
"123","Baltimore","Documented",2033,399.981717099563,395.517595722347,260.458044600081,527.157930863506
"124","Baltimore","Documented",2034,430.035144543348,423.927437241267,279.910400277647,556.22625069382
"125","Baltimore","Documented",2035,457.213997026502,449.964702069773,299.142413498488,584.415523575394
"126","Baltimore","Documented",2036,481.604246032603,473.325690604704,315.874216159318,609.706872736932
"127","Baltimore","Documented",2037,503.485248973662,493.883973201807,333.119764825221,632.043473966666
"128","Baltimore","Documented",2038,523.220417520903,512.471984700979,350.653220208239,651.784957847729
"129","Baltimore","Documented",2039,541.185941951417,529.681673291749,364.939823015273,669.553386184875
"130","Baltimore","Documented",2040,557.731411557628,546.025277195597,379.318074153642,685.782760611888
"131","Baltimore","Ideal",2015,516.283738673153,531.25697960007,463.05592079404,652.538084232528
"132","Baltimore","Ideal",2016,523.84910058016,536.488320873681,467.640862986688,663.945901579977
"133","Baltimore","Ideal",2017,522.229010295781,532.954355230338,462.994943360142,665.715593370962
"134","Baltimore","Ideal",2018,518.725008896428,528.241171115243,455.053548262369,663.869161011754
"135","Baltimore","Ideal",2019,516.412984288366,524.892326996961,447.729045954147,661.975607318614
"136","Baltimore","Ideal",2020,507.695580413785,514.345179083394,436.466616487884,648.524844909112
"137","Baltimore","Ideal",2021,397.140639992925,405.74279527447,335.127075257356,530.724588032835
"138","Baltimore","Ideal",2022,239.194388378675,255.280445777835,193.2573617246,372.704672183287
"139","Baltimore","Ideal",2023,182.67280144099,198.256194781829,140.015258418137,310.382071438514
"140","Baltimore","Ideal",2024,146.709949628559,161.53215554032,110.246866761627,267.497044305395
"141","Baltimore","Ideal",2025,123.449323151201,137.969806242369,91.66278024725,238.230863714068
"142","Baltimore","Ideal",2026,108.18319930227,122.349603859366,80.4213355356285,217.299439955747
"143","Baltimore","Ideal",2027,97.7721177539761,111.396079369758,72.4774753413022,204.319800545898
"144","Baltimore","Ideal",2028,90.3194041627339,102.960098439262,66.3395736455759,194.28245664581
"145","Baltimore","Ideal",2029,84.7097408756908,96.7520488578853,61.7711938617256,186.120705123456
"146","Baltimore","Ideal",2030,89.4666458142765,100.951973293124,65.9611207734928,190.78371948111
"147","Baltimore","Ideal",2031,109.869400577209,119.914864124853,81.1406898201786,216.442203782542
"148","Baltimore","Ideal",2032,133.740894930498,142.981523755918,97.4840142881472,242.584245680777
"149","Baltimore","Ideal",2033,162.010105087196,169.29879467891,113.807879273656,271.73255874275
"150","Baltimore","Ideal",2034,194.17895409201,199.534394822298,132.59606968446,307.073199570539
"151","Baltimore","Ideal",2035,229.049221617734,232.026711857704,153.15953797981,343.329659532908
"152","Baltimore","Ideal",2036,265.118830816247,264.461810579165,174.082849059222,380.457993957885
"153","Baltimore","Ideal",2037,300.892952865332,298.025799140087,196.40624758477,415.39884281216
"154","Baltimore","Ideal",2038,335.157201235428,330.187518531416,218.881860989434,451.470808782007
"155","Baltimore","Ideal",2039,367.134151735257,359.399763231672,241.253860122497,482.282632083899
"156","Baltimore","Ideal",2040,396.493052880309,386.369177083177,259.999978216605,508.993751874097
"157","Los Angeles","Status Quo",2015,2270.17482213019,2266.52102605776,2020.16579062686,2587.43544424909
"158","Los Angeles","Status Quo",2016,2315.12241424021,2316.70290388283,2038.57722575099,2679.71936403756
"159","Los Angeles","Status Quo",2017,2334.91473280335,2339.72119629627,2039.84341715512,2729.81314844817
"160","Los Angeles","Status Quo",2018,2348.41548774705,2353.71481547665,2035.05047515429,2761.88474907349
"161","Los Angeles","Status Quo",2019,2359.49496334052,2365.87438840252,2027.02718850061,2794.70209589116
"162","Los Angeles","Status Quo",2020,2367.93023660988,2373.5219103529,2018.71792383329,2820.16345009121
"163","Los Angeles","Status Quo",2021,2373.93537115086,2375.84995144137,2002.28449947002,2835.04516946292
"164","Los Angeles","Status Quo",2022,2377.76213508537,2379.95110595614,1991.47215350372,2848.05384592446
"165","Los Angeles","Status Quo",2023,2379.61919139053,2382.84379539149,1979.96806225274,2865.89302203621
"166","Los Angeles","Status Quo",2024,2379.67296890541,2379.90115530096,1964.21424744412,2884.42011055884
"167","Los Angeles","Status Quo",2025,2378.06189601992,2374.18383994189,1941.72754852633,2901.00135446095
"168","Los Angeles","Status Quo",2026,2374.90775343224,2367.95139198668,1919.6159670395,2917.95150618968
"169","Los Angeles","Status Quo",2027,2370.32231876555,2361.20635178696,1906.95698161085,2926.14998323129
"170","Los Angeles","Status Quo",2028,2364.41061655319,2355.65201777364,1885.58012968632,2939.77691353904
"171","Los Angeles","Status Quo",2029,2357.27221042087,2347.90312722259,1859.80231731265,2938.69136655543
"172","Los Angeles","Status Quo",2030,2349.001517251,2339.16543746545,1837.48726600579,2947.55473719257
"173","Los Angeles","Status Quo",2031,2339.68770885921,2329.75631166583,1820.77097553434,2954.86925399069
"174","Los Angeles","Status Quo",2032,2329.41449406753,2319.00478834163,1803.03852239113,2959.0909694117
"175","Los Angeles","Status Quo",2033,2318.25991609354,2308.58783167587,1779.36175000768,2962.30181314316
"176","Los Angeles","Status Quo",2034,2306.29621568404,2295.91878751461,1761.33820745094,2964.79721052732
"177","Los Angeles","Status Quo",2035,2293.58976818902,2283.60997971913,1740.16748950972,2966.48071703804
"178","Los Angeles","Status Quo",2036,2280.20108351499,2269.55510193128,1712.13508681885,2965.1449105912
"179","Los Angeles","Status Quo",2037,2266.18485034125,2255.79124499664,1693.01948138126,2966.92120947909
"180","Los Angeles","Status Quo",2038,2251.59000388367,2238.76391767557,1677.81274273506,2968.02948097845
"181","Los Angeles","Status Quo",2039,2236.45979664206,2221.7618509845,1654.75700553128,2966.77706278849
"182","Los Angeles","Status Quo",2040,2220.8318520726,2205.71378063632,1628.91355065512,2964.87639961641
"183","Los Angeles","Documented",2015,2270.17482213019,2266.52102605776,2020.16579062686,2587.43544424909
"184","Los Angeles","Documented",2016,2315.12241424021,2316.70290388283,2038.57722575099,2679.71936403756
"185","Los Angeles","Documented",2017,2334.91473280335,2339.72119629627,2039.84341715512,2729.81314844817
"186","Los Angeles","Documented",2018,2348.41548774705,2353.71481547665,2035.05047515429,2761.88474907349
"187","Los Angeles","Documented",2019,2359.49496334052,2365.87438840252,2027.02718850061,2794.70209589116
"188","Los Angeles","Documented",2020,2349.54179832897,2352.89000266471,2003.60787311883,2795.12804985064
